id,location,time_stamp,temp_c,humidity,cond,wind_kph,pressure_mb,wind_mps
1300,Kristiansand,2026-01-13 21:52:00,1.2,93,Light rain,27.0,1003.0,7.5
1299,Kristiansand,2026-01-13 21:52:00,1.2,93,Light rain,27.0,1003.0,7.5
1298,Kristiansand,2026-01-13 21:43:00,1.3,93,Light rain,27.0,1003.0,7.5
1297,Kristiansand,2026-01-13 21:38:00,1.3,93,Light rain,27.0,1003.0,7.5
1296,Kristiansand,2026-01-13 21:38:00,1.3,93,Light rain,27.0,1003.0,7.5
1295,Kristiansand,2026-01-13 21:25:00,0.4,100,Light rain,27.0,1003.0,7.5
1294,Kristiansand,2026-01-13 21:18:00,0.4,100,Light rain,27.0,1003.0,7.5
1293,Kristiansand,2026-01-13 21:10:00,0.4,100,Light rain,27.0,1003.0,7.5
1292,Kristiansand,2026-01-13 20:53:00,0.1,100,Light rain,30.2,1003.0,8.38888888888889
1291,Kristiansand,2026-01-13 20:41:00,0.3,100,Light rain,30.2,1003.0,8.38888888888889
